pred	count
하다	16135
있다	8288
말하다	8199
받다	6274
보다	6140
되다	6094
없다	4876
밝히다	4430
크다	3477
나오다	3449
열다	3402
아니다	3356
많다	2927
만들다	2760
같다	2628
높다	2624
오르다	2205
들다	2145
내다	2122
알다	2072
쓰다	1953
좋다	1909
잇다	1886
나서다	1681
지나다	1530
보이다	1512
찾다	1495
전하다	1455
가다	1441
주다	1432
만나다	1405
살다	1382
오다	1328
늘다	1300
어렵다	1293
넘다	1248
맞다	1243
바꾸다	1226
벌이다	1216
이루다	1163
맡다	1114
줄다	1107
필요하다	1085
두다	1067
주장하다	1067
나타나다	1040
발표하다	1030
남다	1027
설명하다	1019
떨어지다	1010
강조하다	992
잡다	963
이르다	962
생각하다	953
요구하다	931
모으다	925
갖다	924
보내다	913
담다	911
알려지다	904
다르다	902
부르다	901
낮다	892
서다	871
늘어나다	866
가지다	860
참여하다	854
내놓다	842
들어가다	836
시작하다	829
적다	825
내리다	816
막다	810
기록하다	800
끝나다	799
다양하다	795
듣다	795
얻다	779
드러나다	760
새롭다	759
추진하다	752
거치다	752
타다	713
나다	706
묻다	704
사용하다	703
앞서다	700
앞두다	699
중요하다	697
놓다	687
이용하다	677
지원하다	677
관련하다	659
차지하다	657
포함하다	654
지적하다	652
확인하다	651
발생하다	649
나누다	642
생기다	630
마련하다	629
빠지다	616
먹다	616
이끌다	612
참석하다	612
걸리다	609
지키다	609
보도하다	607
운영하다	606
느끼다	598
모르다	596
대하다	588
팔다	569
제공하다	568
갖추다	565
펼치다	562
입다	562
공개하다	562
짓다	557
결정하다	555
시작되다	552
아닌	551
열리다	550
가능하다	546
활용하다	540
위하다	537
떠나다	535
일하다	519
진행하다	514
그치다	511
힘들다	510
치르다	507
마치다	505
강하다	505
쉽다	502
유지하다	496
겪다	496
분석하다	491
비판하다	490
정하다	487
맞추다	487
인정하다	482
강화하다	466
미치다	463
진행되다	460
방문하다	458
치다	458
포함되다	457
꼽다	450
제시하다	450
넣다	450
비슷하다	448
예상되다	444
지내다	444
당하다	435
확보하다	435
줄어들다	433
풀다	429
붙다	427
고려하다	424
평가하다	419
조사하다	418
작다	413
검토하다	408
일어나다	399
논의하다	398
끌다	396
따르다	395
기대하다	395
뛰다	394
개발하다	392
준비하다	392
삼다	389
증가하다	386
제외하다	385
확대하다	382
요청하다	382
성공하다	382
찍다	381
반대하다	379
차다	379
그리다	379
옮다	378
거두다	377
확인되다	375
가깝다	375
들어오다	373
읽다	371
실시하다	369
제출하다	367
돕다	366
나가다	364
숨지다	361
받아들이다	360
몰다	357
선보이다	356
달리다	355
판단하다	355
향하다	355
피하다	353
다니다	350
잃다	349
사라지다	344
덧붙이다	341
사다	339
던지다	339
다루다	338
맺다	338
적용하다	336
달하다	335
내세우다	335
답하다	335
부족하다	334
벗어나다	331
쏟다	330
반영하다	329
죽다	329
배우다	328
불과하다	327
이기다	327
등장하다	320
해결하다	318
제기하다	318
쌓다	317
들어서다	317
원하다	313
싣다	310
젊다	310
도입하다	309
지다	308
빠르다	307
합의하다	303
넘기다	301
믿다	301
즐기다	299
뽑다	299
바라다	297
챙기다	296
돌아가다	295
제안하다	294
올리다	294
제기되다	291
전달하다	291
걸다	290
투자하다	289
돌아오다	289
거부하다	288
걸치다	286
참가하다	283
달다	282
둘러싸다	280
주도하다	279
맞서다	278
설치하다	277
보유하다	276
걷다	276
활동하다	275
못하다	275
선언하다	275
선택하다	275
빼다	270
구성되다	269
비교하다	268
기다리다	268
깨다	268
반발하다	262
언급하다	258
신청하다	258
움직이다	257
출전하다	255
촉구하다	255
지급하다	253
통하다	253
깊다	252
소개하다	252
대비하다	252
파악하다	251
심각하다	251
발견되다	251
빚다	250
처리하다	248
일으키다	246
따다	245
세우다	241
우려하다	238
흔들다	238
선정하다	237
터지다	235
올라가다	234
돌리다	233
